,ZipCode,ZipName,State,County
658,4086,Topsham,ME,Topsham
659,4087,Waterboro,ME,York County
660,4088,Waterford,ME,Oxford County
661,4090,Wells,ME,York County
662,4092,Westbrook,ME,Cumberland County
663,4093,Buxton,ME,York County
664,4095,West Newfield,ME,Newfield
665,4096,Yarmouth,ME,Yarmouth Town
666,4097,North Yarmouth,ME,Yarmouth Town
667,4101,Portland,ME,Cumberland County
668,4102,Portland,ME,Cumberland County
669,4103,Portland,ME,Cumberland County
670,4105,Falmouth,ME,Cumberland County
671,4106,South Portland,ME,Cumberland County
672,4107,Cape Elizabeth,ME,Scarborough Town
673,4108,Peaks Island,ME,Portland
674,4110,Cumberland Foreside,ME,Cumberland
675,4210,Auburn,ME,Androscoggin County
676,4217,Bethel,ME,Oxford County
677,4219,Bryant Pond,ME,Oxford County
678,4220,Buckfield,ME,Oxford County
679,4224,Dixfield,ME,Oxford County
680,4236,Greene,ME,Androscoggin County
681,4239,Jay,ME,Franklin County
682,4240,Lewiston,ME,Androscoggin County
683,4250,Lisbon,ME,Topsham
684,4253,Livermore,ME,Androscoggin County
685,4254,Livermore Falls,ME,Androscoggin County
686,4255,Greenwood,ME,Oxford County
687,4257,Mexico,ME,Oxford County
688,4259,Monmouth,ME,Winthrop
689,4260,New Gloucester,ME,Cumberland County
690,4261,Newry,ME,Oxford County
691,4268,Norway,ME,Norway
692,4270,Oxford,ME,Oxford
693,4274,Poland,ME,Androscoggin County
694,4276,Rumford,ME,Rumford
695,4280,Sabattus,ME,Androscoggin County
696,4281,South Paris,ME,Paris
697,4282,Turner,ME,Androscoggin County
698,4294,Wilton,ME,Franklin County
699,4330,Augusta,ME,Kennebec County
700,4345,Gardiner,ME,Kennebec County
701,4347,Hallowell,ME,Kennebec County
702,4348,Jefferson,ME,Waldoboro
703,4349,Kents Hill,ME,Readfield
704,4350,Litchfield,ME,Kennebec County
705,4351,Manchester,ME,Winthrop
706,4352,Mount Vernon,ME,Kennebec County
707,4354,Palermo,ME,Hibberts Gore
708,4355,Readfield,ME,Winthrop
