Zip Code,Median Income,Median Age,Total Population,White Pop,Black Pop,Asian Pop,Hispanic Pop,Pacific Pop,Native Pop,Other Pop
87016,32411,40.1,3621,2974,15,0,2049,0,91,516
87020,40813,35.3,11436,6893,198,141,5917,21,1780,1938
87025,83462,52.1,1176,1101,0,18,169,0,16,36
87031,43530,36.7,44479,29629,588,236,27802,0,1314,11570
87043,76351,57.7,5202,4631,36,50,1016,0,0,405
87047,75294,55.3,4390,4149,29,7,508,0,0,75
87048,69159,53.5,8945,7626,25,155,2937,0,221,638
87059,77682,48.8,9368,8190,48,351,2677,0,25,314
87102,28351,35.2,19623,11371,393,185,12968,0,848,5734
87104,42382,40.2,12170,8843,251,44,7254,55,260,2141
87105,36676,36.7,57878,35126,998,239,46273,11,2572,17664
87106,34140,30,25476,17578,912,1128,8833,14,1227,3257
87107,43600,39.9,32237,22305,481,152,17883,0,1102,7058
87108,26963,35.8,38150,23785,1214,870,19102,96,3243,7013
87109,43408,38.2,40386,31216,1974,994,14090,1,2121,2667
87110,49609,43.9,37774,29234,1648,1518,13340,27,1041,2527
87111,61879,44.4,58341,47276,1050,1743,14977,19,2035,3933
87112,46344,40.5,43188,33634,2026,1342,14288,39,1496,2593
87113,63205,35.2,15861,12245,314,1246,7219,52,350,1108
87114,64308,34.3,66061,51716,1622,1807,29132,9,2564,5372
87120,64106,34.5,59947,43831,1458,1211,30734,49,3202,7053
87121,41856,28.4,77052,46323,2492,407,62654,211,2479,23048
87122,115247,47.8,18260,16075,45,886,2857,0,156,456
87123,41748,36.5,43626,30906,2114,1523,18191,11,2877,4677
87124,54605,38.6,52880,43668,1754,1246,20423,56,1049,3188
87144,62648,33.9,39464,31215,1661,355,15973,0,1012,3232
87301,45395,30.7,24102,9868,249,446,7946,17,9696,2390
87401,49963,31.8,46249,27798,442,175,11696,50,12269,3472
87402,77500,35.2,10530,8379,55,91,2528,5,870,659
87410,50029,40.3,17480,14647,47,42,3075,18,1151,1010
87413,48660,33,16125,9441,65,23,5008,13,4827,1220
87501,57266,53.7,15523,13856,167,183,5031,0,108,775
87505,51566,48.2,30421,26214,262,473,12927,0,658,1839
87506,67185,48.7,13292,9967,40,113,6178,13,1968,906
87507,44588,34.5,46531,37142,393,573,32688,33,1112,5892
87508,67306,48.1,19493,16977,207,189,8357,24,429,1334
87510,78160,60.6,595,531,0,0,206,0,64,0
87520,48807,47.5,1223,1046,6,0,581,0,22,122
87532,36010,39.1,18406,11514,120,188,14415,2,1552,4521
87540,61563,54.8,886,830,0,0,81,0,25,5
87544,105989,43.1,17974,15778,89,1126,2830,17,183,416
87552,32885,34.4,3410,1769,95,0,3125,0,0,1519
87557,41393,40.4,7172,5139,66,68,4468,0,119,1356
87571,32849,46.9,10444,6896,15,44,4911,0,1464,1696
87701,28820,40.2,20165,13234,433,195,15063,17,243,5175
87718,49420,43,547,522,1,0,90,0,12,6
87740,34368,44.4,7505,6170,30,36,4189,0,297,810
87742,54063,70.1,450,376,0,0,136,0,0,62
87801,32889,34.2,10384,8813,136,45,5657,0,448,722
87901,26024,54.1,6778,6245,26,113,2031,0,100,203
88001,26357,28.1,36361,31725,698,768,24211,8,684,1562
88005,43023,36.3,29366,26534,416,280,17056,1,365,1155
88007,49438,38.8,25364,22457,679,64,15065,0,253,1465
88008,49024,32,6256,5603,114,0,4779,0,0,292
88011,58469,37.6,28542,24021,637,880,11063,0,483,1547
