Zip Code,Median Income,Median Age,Total Population,White Percent,Black Percent,Asian Percent,Hispanic Percent,Pacific Percent,Native Percent,Other Percent,ZipName,State,Lat,Long,County
17313,60553,42.5,10914,0.9347626901227781,0.026571376214037018,0.00815466373465274,0.02345611141652923,0.0,0.0,0.014568444200109951,Dallastown,PA,39.89,-76.64,York County
17314,55945,38.8,5868,0.9597818677573279,0.00954328561690525,0.008009543285616906,0.004260395364689844,0.0,0.0013633265167007499,0.0,Delta,PA,39.72,-76.32,York County
17315,57796,41.9,26129,0.934823376325156,0.026675341574495772,0.0056642045237092885,0.01982471583298251,0.0,0.0,0.0009185196524933981,Dover,PA,40.0,-76.84,Dover Township
17316,66631,41.8,8442,0.9739398246860933,0.00035536602700781805,0.00367211561241412,0.02155887230514096,0.0,0.0009476427386875149,0.013030087656953328,East Berlin,PA,39.93,-76.97,Adams County
17319,66832,38.0,10750,0.9468837209302325,0.01013953488372093,0.01981395348837209,0.03013953488372093,0.0,0.002046511627906977,0.0,Etters,PA,40.15,-76.79,York County
17320,69775,43.4,7919,0.9705770930673064,0.005556257103169592,0.002778128551584796,0.024371764111630258,0.0,0.0020204571284253062,0.0034095214042177044,Fairfield,PA,39.78,-77.36,Adams County
17322,65635,40.6,6549,0.9806077263704382,0.010841349824400671,0.0007634753397465262,0.008856313941059703,0.0018323408153916628,0.0009161704076958314,0.0,Felton,PA,39.85,-76.56,York County
17324,56631,47.7,4094,0.9741084513922814,0.006350757205666829,0.0014655593551538837,0.015876893014167073,0.0,0.0,0.007083536883243771,Gardners,PA,40.04,-77.18,Tyrone Township
17325,58082,42.0,28223,0.8780427311058356,0.03511320554157956,0.013889381001310987,0.07146653438684761,0.0,0.0,0.04166814300393296,Gettysburg,PA,39.83,-77.23,Adams County
17327,62773,45.8,7697,0.9890866571391451,0.001429128231778615,0.0038976224503053138,0.004936988437053398,0.0,0.0,0.0007795244900610628,Glen Rock,PA,39.79,-76.73,York County
17331,59131,42.0,50812,0.9278713689679603,0.011316224513894356,0.012949696921986931,0.04805951350074786,0.0,0.00015744312367157364,0.025053137054239154,Hanover,PA,39.81,-76.98,York County
17339,77652,45.2,6975,0.9840860215053764,0.00931899641577061,0.0,0.014623655913978495,0.0,0.0,0.0,Lewisberry,PA,40.13,-76.86,York County
